Date,Time,COOK AND PHILLIP AQI hourly AQI [index]
10/1/2020,23:00,63
10/1/2020,24:00:00,67
11/1/2020,1:00,75
11/1/2020,2:00,81
11/1/2020,3:00,102
11/1/2020,4:00,118
11/1/2020,5:00,97
11/1/2020,6:00,102
11/1/2020,7:00,103
11/1/2020,8:00,104
11/1/2020,9:00,105
11/1/2020,10:00,108
11/1/2020,11:00,108
11/1/2020,12:00,106
11/1/2020,13:00,104
11/1/2020,14:00,105
11/1/2020,15:00,110
11/1/2020,16:00,109
11/1/2020,17:00,106
11/1/2020,18:00,110
11/1/2020,19:00,109
11/1/2020,20:00,111
11/1/2020,21:00,110
11/1/2020,22:00,108
11/1/2020,23:00,110
11/1/2020,24:00:00,105
12/1/2020,1:00,100
12/1/2020,2:00,135
12/1/2020,3:00,101
12/1/2020,4:00,99
12/1/2020,5:00,98
12/1/2020,6:00,95
12/1/2020,7:00,94
12/1/2020,8:00,96
12/1/2020,9:00,169
12/1/2020,10:00,211
12/1/2020,11:00,268
12/1/2020,12:00,241
12/1/2020,13:00,203
12/1/2020,14:00,162
12/1/2020,15:00,161
12/1/2020,16:00,167
12/1/2020,17:00,172
12/1/2020,18:00,167
12/1/2020,19:00,166
12/1/2020,20:00,162
12/1/2020,21:00,163
12/1/2020,22:00,164
12/1/2020,23:00,164
12/1/2020,24:00:00,168
13/01/2020,1:00,173
13/01/2020,2:00,175
13/01/2020,3:00,170
13/01/2020,4:00,169
13/01/2020,5:00,168
13/01/2020,6:00,172
13/01/2020,7:00,175
13/01/2020,8:00,177
13/01/2020,9:00,177
13/01/2020,10:00,168
13/01/2020,11:00,153
13/01/2020,12:00,137
13/01/2020,13:00,121
13/01/2020,14:00,110
13/01/2020,15:00,104
13/01/2020,16:00,97
13/01/2020,17:00,93
13/01/2020,18:00,91
13/01/2020,19:00,89
13/01/2020,20:00,90
13/01/2020,21:00,91
13/01/2020,22:00,89
13/01/2020,23:00,86
13/01/2020,24:00:00,81
14/01/2020,1:00,75
14/01/2020,2:00,70
14/01/2020,3:00,63
